"id";"tipo";"nome";"preco";"img"
"1";"Action Figure";"SATORU GOJO - JUJUTSU KAISEN - BANDAI";"R$ 599,00";"https://www.fantoy.com.br/media/catalog/product/cache/5070b15b05522f191912dd31c57262ab/g/o/gojo-min_1.jpg"
"2";"Action Figure";"OPTIMUS PRIME - TRANSFORMERS";"R$ 999,00";"https://www.fantoy.com.br/media/catalog/product/cache/5070b15b05522f191912dd31c57262ab/o/p/optimus_prime-min.jpg"
"3";"Action Figure";"TINKERBELL (FALL VARIANT)";"R$ 3.499,00";"https://www.fantoy.com.br/media/catalog/product/cache/5070b15b05522f191912dd31c57262ab/t/i/tinker_bell_fall_variant_2-min.jpg"
"4";"Action Figure";"GOKU SUPER SAIYAN - DRAGON BALL Z - BANDAI";"R$ 699,00";"https://www.fantoy.com.br/media/catalog/product/cache/5070b15b05522f191912dd31c57262ab/g/o/goku1-min_1.jpg"
"5";"Action Figure";"ETERNAL SAILOR MOON - SAILOR MOON ETERNAL - BANDAI";"R$ 499,00";"https://www.fantoy.com.br/media/catalog/product/cache/5070b15b05522f191912dd31c57262ab/e/t/eternal_sailor_moon-min.jpg"
"6";"Action Figure";"THE WATCHER - MARVEL COMICS";"R$ 349,00";"https://www.fantoy.com.br/media/catalog/product/cache/5070b15b05522f191912dd31c57262ab/w/a/watcher-min.jpg"
"7";"Action Figure";"BETA RAY BILL - MARVEL COMICS";"R$ 449,00";"https://www.fantoy.com.br/media/catalog/product/cache/5070b15b05522f191912dd31c57262ab/b/e/beta_ray_bill_2-min.jpg"
"8";"Action Figure";"WONDER WOMAN GOLDEN ARMOR - WONDER WOMAN 1984 ";"R$ 2.999,00";"https://www.fantoy.com.br/media/catalog/product/cache/5070b15b05522f191912dd31c57262ab/w/o/wonder7-min.jpg"
"9";"Action Figure";"SUPERMAN - DC COMICS ";"R$ 3.999,00";"https://www.fantoy.com.br/media/catalog/product/cache/5070b15b05522f191912dd31c57262ab/s/u/superman-min_1.jpg"
"10";"Action Figure";"SCARLET WITCH DELUXE - WANDAVISION - IRON STUDIOS";"R$ 1.199,00";"https://www.fantoy.com.br/media/catalog/product/cache/5070b15b05522f191912dd31c57262ab/s/c/scarlet.jpg"
"id";"nome";"marca";"material";"preco";"img"
"1";"LEGO Classic";"LEGO";"Plástico";"R$ 233,99";"https://m.media-amazon.com/images/I/91RaDysK8zL._AC_SX425_.jpg"
"2";"Pula Pirata";"Estrela";"Plástico";"R$ 74,99";"https://estrela.vtexassets.com/arquivos/ids/170662/7896027541922-02.jpg?v=637919570598800000"
"3";"Crocodilo Dentista";"POLIBRINQ";"Plástico";"R$ 47,30";"https://m.media-amazon.com/images/I/61yLd3xdlqL._AC_SX679_.jpg"
"4";"Pinguim Numa Fria";"Art Brink";"Plástico";"R$ 29,49";"https://m.media-amazon.com/images/I/71U3Wq+NVeL._AC_SX679_.jpg"
